#locus_id	contig	start	stop	annotation
cds1382	gi|16763390|ref|NC_003197.1|	1495691	1496992	ID=cds1382;Name=NP_460380.1;Parent=gene1428;Note=member of a type III secretion system which is part of a pathogenicity island in Salmonella%2C Yersinia and pathogenic Escherichia coli involved in the infection of eukaryotic cells%3B gene expression shown in other strains of S. typhimurium PMID:9140973;Dbxref=Genbank:NP_460380.1,GeneID:1252933;gbkey=CDS;gene=ssaN;product=secretion system apparatus ATP synthase SsaN;protein_id=NP_460380.1;transl_table=11;strand=+
cds1383	gi|16763390|ref|NC_003197.1|	1496995	1497372	ID=cds1383;Name=NP_460381.1;Parent=gene1429;Note=member of a type III secretion system which is part of a pathogenicity island in Salmonella%2C Yersinia and pathogenic Escherichia coli involved in the infection of eukaryotic cells%3B gene expression shown in other strains of S. typhimurium PMID:9140973;Dbxref=Genbank:NP_460381.1,GeneID:1252934;gbkey=CDS;gene=ssaO;product=secretion system apparatus protein SsaO;protein_id=NP_460381.1;transl_table=11;strand=+
cds1384	gi|16763390|ref|NC_003197.1|	1497353	1497727	ID=cds1384;Name=NP_460382.1;Parent=gene1430;Note=member of a type III secretion system which is part of a pathogenicity island in Salmonella%2C Yersinia and pathogenic Escherichia coli involved in the infection of eukaryotic cells%3B gene expression shown in other strains of S. typhimurium PMID:9140973;Dbxref=Genbank:NP_460382.1,GeneID:1252935;gbkey=CDS;gene=ssaP;product=secretion system apparatus protein SsaP;protein_id=NP_460382.1;transl_table=11;strand=+
cds1385	gi|16763390|ref|NC_003197.1|	1497708	1498676	ID=cds1385;Name=NP_460383.1;Parent=gene1431;Note=member of a type III secretion system which is part of a pathogenicity island in Salmonella%2C Yersinia and pathogenic Escherichia coli involved in the infection of eukaryotic cells%3B gene expression shown in other strains of S. typhimurium PMID:9140973;Dbxref=Genbank:NP_460383.1,GeneID:1252936;gbkey=CDS;gene=ssaQ;product=secretion system apparatus protein SsaQ;protein_id=NP_460383.1;transl_table=11;strand=+
cds1386	gi|16763390|ref|NC_003197.1|	1498744	1499391	ID=cds1386;Name=NP_460384.1;Parent=gene1432;Note=member of a type III secretion system which is part of a pathogenicity island in Salmonella%2C Yersinia and pathogenic Escherichia coli involved in the infection of eukaryotic cells%3B gene expression shown in other strains of S. typhimurium PMID:9140973;Dbxref=Genbank:NP_460384.1,GeneID:1252937;gbkey=CDS;gene=ssaR;product=secretion system apparatus protein SsaR;protein_id=NP_460384.1;transl_table=11;strand=+
cds1387	gi|16763390|ref|NC_003197.1|	1499388	1499654	ID=cds1387;Name=NP_460385.1;Parent=gene1433;Note=member of a type III secretion system which is part of a pathogenicity island in Salmonella%2C Yersinia and pathogenic Escherichia coli involved in the infection of eukaryotic cells%3B gene expression shown in other strains of S. typhimurium PMID:9140973;Dbxref=Genbank:NP_460385.1,GeneID:1252938;gbkey=CDS;gene=ssaS;product=secretion system apparatus protein SsaS;protein_id=NP_460385.1;transl_table=11;strand=+
cds1388	gi|16763390|ref|NC_003197.1|	1499655	1500434	ID=cds1388;Name=NP_460386.1;Parent=gene1434;Note=member of a type III secretion system which is part of a pathogenicity island in Salmonella%2C Yersinia and pathogenic Escherichia coli involved in the infection of eukaryotic cells%3B gene expression shown in other strains of S. typhimurium PMID:9140973;Dbxref=Genbank:NP_460386.1,GeneID:1252939;gbkey=CDS;gene=ssaT;product=secretion system apparatus protein SsaT;protein_id=NP_460386.1;transl_table=11;strand=+
cds1389	gi|16763390|ref|NC_003197.1|	1500431	1501489	ID=cds1389;Name=NP_460387.1;Parent=gene1435;Note=member of a type III secretion system which is part of a pathogenicity island in Salmonella%2C Yersinia and pathogenic Escherichia coli involved in the infection of eukaryotic cells%3B gene expression shown in other strains of S. typhimurium PMID:9140973;Dbxref=Genbank:NP_460387.1,GeneID:1252940;gbkey=CDS;gene=ssaU;product=secretion system apparatus protein SsaU;protein_id=NP_460387.1;transl_table=11;strand=+
cds1390	gi|16763390|ref|NC_003197.1|	1501962	1503335	ID=cds1390;Name=NP_460388.1;Parent=gene1438;Note=NorM%3B MdtK%3B functions as a Na%28%2B%29%2Fdrug antiporter%3B inactivation in Vibrio cholerae results in susceptibility to fluoroquinolones;Dbxref=Genbank:NP_460388.1,GeneID:1252943;gbkey=CDS;gene=mdtK;product=multidrug resistance protein MdtK;protein_id=NP_460388.1;transl_table=11;strand=-
cds1391	gi|16763390|ref|NC_003197.1|	1503552	1504193	ID=cds1391;Name=NP_460389.1;Parent=gene1439;Note=catalyzes the formation of riboflavin from 6%2C7-dimethyl-8-%281-D-ribityl%29lumazine;Dbxref=Genbank:NP_460389.1,GeneID:1252944;gbkey=CDS;gene=ribE;product=riboflavin synthase subunit alpha;protein_id=NP_460389.1;transl_table=11;strand=+
cds1392	gi|16763390|ref|NC_003197.1|	1504235	1505383	ID=cds1392;Name=NP_460390.1;Parent=gene1440;Note=catalyzes the transfer of a methylene group from S-adenosyl-L-methionine to the cis double bond of an unsaturated fatty acid chain resulting in the replacement of the double bond with a methylene bridge;Dbxref=Genbank:NP_460390.1,GeneID:1252945;gbkey=CDS;gene=cfa;product=cyclopropane-fatty-acyl-phospholipid synthase;protein_id=NP_460390.1;transl_table=11;strand=-
cds1393	gi|16763390|ref|NC_003197.1|	1505673	1506878	ID=cds1393;Name=NP_460391.1;Parent=gene1441;Note=uncharacterized member of the major facilitator superfamily %28MFS%29;Dbxref=Genbank:NP_460391.1,GeneID:1252946;gbkey=CDS;gene=ydhC;product=MFS family transport protein;protein_id=NP_460391.1;transl_table=11;strand=-
cds1394	gi|16763390|ref|NC_003197.1|	1506991	1507923	ID=cds1394;Name=NP_460392.1;Parent=gene1442;Dbxref=Genbank:NP_460392.1,GeneID:1252947;gbkey=CDS;gene=ydhB;product=LysR family transcriptional regulator;protein_id=NP_460392.1;transl_table=11;strand=+
cds1395	gi|16763390|ref|NC_003197.1|	1507920	1508945	ID=cds1395;Name=NP_460393.1;Parent=gene1443;Note=binds to the purF operator and coregulates other genes for de novo purine nucleotide synthesis%3B is involved in regulation of purB%2C purC%2C purEK%2C purHD%2C purL%2C purMN and guaBA expression%3B binds hypoxanthine and guanine as inducers;Dbxref=Genbank:NP_460393.1,GeneID:1252948;gbkey=CDS;gene=purR;product=HTH-type transcriptional repressor PurR;protein_id=NP_460393.1;transl_table=11;strand=-
cds1396	gi|16763390|ref|NC_003197.1|	1509413	1509994	ID=cds1396;Name=NP_460394.1;Parent=gene1444;Note=SodB%3B iron binding%3B present under aerobic and anaerobic conditions%3B destroys free radicals;Dbxref=Genbank:NP_460394.1,GeneID:1252949;gbkey=CDS;gene=sodB;product=superoxide dismutase;protein_id=NP_460394.1;transl_table=11;strand=-
cds1397	gi|16763390|ref|NC_003197.1|	1510121	1510975	ID=cds1397;Name=NP_460395.1;Parent=gene1445;Dbxref=Genbank:NP_460395.1,GeneID:1252950;gbkey=CDS;gene=ydhO;product=cell wall-associated hydrolase;protein_id=NP_460395.1;transl_table=11;strand=-
cds1398	gi|16763390|ref|NC_003197.1|	1511277	1511624	ID=cds1398;Name=NP_460396.1;Parent=gene1446;Dbxref=Genbank:NP_460396.1,GeneID:1252951;gbkey=CDS;gene=ydhD;product=glutaredoxin;protein_id=NP_460396.1;transl_table=11;strand=+
cds1399	gi|16763390|ref|NC_003197.1|	1511702	1512349	ID=cds1399;Name=NP_460397.1;Parent=gene1447;Note=Responsible for the end-turnover of tRNA: specifically removes the terminal AMP residue from uncharged tRNA %28tRNA-C-C-A%29;Dbxref=Genbank:NP_460397.1,GeneID:1252952;gbkey=CDS;gene=rnt;product=ribonuclease T;protein_id=NP_460397.1;transl_table=11;strand=-
cds1400	gi|16763390|ref|NC_003197.1|	1512450	1512857	ID=cds1400;Name=NP_460398.1;Parent=gene1448;Note=Ni-dependent%3B catalyzes the formation of S-lactoylglutathione from methylglyoxal and glutathione;Dbxref=Genbank:NP_460398.1,GeneID:1252953;gbkey=CDS;gene=gloA;product=lactoylglutathione lyase;protein_id=NP_460398.1;transl_table=11;strand=-
cds1401	gi|16763390|ref|NC_003197.1|	1512926	1514023	ID=cds1401;Name=NP_460399.1;Parent=gene1449;Note=FMN-linked%3B catalyzes the formation of N-ethylsuccinimide from N-ethylmaleimide;Dbxref=Genbank:NP_460399.1,GeneID:1252954;gbkey=CDS;gene=nemA;product=N-ethylmaleimide reductase;protein_id=NP_460399.1;transl_table=11;strand=-
cds1402	gi|16763390|ref|NC_003197.1|	1514082	1514681	ID=cds1402;Name=NP_460400.1;Parent=gene1450;Note=TetR%2FAcrR family;Dbxref=Genbank:NP_460400.1,GeneID:1252955;gbkey=CDS;gene=ydhM;product=TetR%2FAcrR family transcriptional repressor;protein_id=NP_460400.1;transl_table=11;strand=-
cds1403	gi|16763390|ref|NC_003197.1|	1514784	1515023	ID=cds1403;Name=NP_460401.1;Parent=gene1451;Dbxref=Genbank:NP_460401.1,GeneID:1252956;gbkey=CDS;gene=ydhL;product=oxidoreductase;protein_id=NP_460401.1;transl_table=11;strand=+
cds1404	gi|16763390|ref|NC_003197.1|	1515074	1515970	ID=cds1404;Name=NP_460402.1;Parent=gene1452;Dbxref=Genbank:NP_460402.1,GeneID:1252957;gbkey=CDS;gene=ydhF;product=aldo%2Fketo reductase;protein_id=NP_460402.1;transl_table=11;strand=+
cds1405	gi|16763390|ref|NC_003197.1|	1516050	1516571	ID=cds1405;Name=NP_460403.1;Parent=gene1453;Note=SodC%3B copper and zinc binding%3B converts superoxide radicals to hydrogen peroxide and water;Dbxref=Genbank:NP_460403.1,GeneID:1252958;gbkey=CDS;gene=sodC;product=superoxide dismutase;protein_id=NP_460403.1;transl_table=11;strand=+
cds1406	gi|16763390|ref|NC_003197.1|	1516547	1518586	ID=cds1406;Name=NP_460404.1;Parent=gene1454;Dbxref=Genbank:NP_460404.1,GeneID:1252959;gbkey=CDS;product=transporter;protein_id=NP_460404.1;transl_table=11;strand=-
cds1407	gi|16763390|ref|NC_003197.1|	1518586	1519482	ID=cds1407;Name=NP_460405.1;Parent=gene1455;Dbxref=Genbank:NP_460405.1,GeneID:1252960;gbkey=CDS;gene=ydhJ;product=multidrug resistance efflux pump;protein_id=NP_460405.1;transl_table=11;strand=-
cds1408	gi|16763390|ref|NC_003197.1|	1519449	1519685	ID=cds1408;Name=NP_460406.1;Parent=gene1456;Dbxref=Genbank:NP_460406.1,GeneID:1252961;gbkey=CDS;gene=ydhI;product=inner membrane protein;protein_id=NP_460406.1;transl_table=11;strand=-
cds1409	gi|16763390|ref|NC_003197.1|	1519886	1520320	ID=cds1409;Name=NP_460407.2;Parent=gene1457;Note=Transcription regulator that can both activate or repress expression;Dbxref=Genbank:NP_460407.2,GeneID:1252962;gbkey=CDS;gene=slyA;product=transcriptional regulator SlyA;protein_id=NP_460407.2;transl_table=11;strand=+
cds1410	gi|16763390|ref|NC_003197.1|	1520368	1520835	ID=cds1410;Name=NP_460408.1;Parent=gene1458;Note=outer membrane lipoprotein SlyB %28SW:SLYB_SALTY%29;Dbxref=Genbank:NP_460408.1,GeneID:1252963;gbkey=CDS;gene=slyB;product=outer membrane lipoprotein SlyB;protein_id=NP_460408.1;transl_table=11;strand=-
cds1411	gi|16763390|ref|NC_003197.1|	1521107	1522228	ID=cds1411;Name=NP_460409.1;Parent=gene1459;Note=catalyzes hydrolysis of 1%2C6-anhydro bond of anyhydro-N-acetylmuramic acid %28anhMurNAc%29 and phosphorylates anhMurNAc to produce N-acetyl-muramate-6-phosphate%3B involved in murein recycling;Dbxref=Genbank:NP_460409.1,GeneID:1252964;gbkey=CDS;gene=anmK;product=anhydro-N-acetylmuramic acid kinase;protein_id=NP_460409.1;transl_table=11;strand=+
cds1412	gi|16763390|ref|NC_003197.1|	1522316	1522645	ID=cds1412;Name=NP_460410.1;Parent=gene1460;Note=MliC%3B membrane-bound lysozyme inhibitor of c-type lysozyme;Dbxref=Genbank:NP_460410.1,GeneID:1252965;gbkey=CDS;gene=mliC;product=lysozyme inhibitor;protein_id=NP_460410.1;transl_table=11;strand=+
cds1413	gi|16763390|ref|NC_003197.1|	1522704	1523360	ID=cds1413;Name=NP_460411.1;Parent=gene1461;Note=catalyzes the formation of pyridoxal 5%27-phosphate from pyridoxamine 5%27-phosphate;Dbxref=Genbank:NP_460411.1,GeneID:1252966;gbkey=CDS;gene=pdxH;product=pyridoxamine 5%27-phosphate oxidase;protein_id=NP_460411.1;transl_table=11;strand=+
cds1414	gi|16763390|ref|NC_003197.1|	1523487	1524761	ID=cds1414;Name=NP_460412.1;Parent=gene1462;Note=catalyzes the formation of tyrosyl-tRNA%28Tyr%29 from tyrosine and tRNA%28Tyr%29;Dbxref=Genbank:NP_460412.1,GeneID:1252967;gbkey=CDS;gene=tyrS;product=tyrosine--tRNA ligase;protein_id=NP_460412.1;transl_table=11;strand=+
cds1415	gi|16763390|ref|NC_003197.1|	1524821	1525681	ID=cds1415;Name=NP_460413.1;Parent=gene1463;Note=catalyzes the formation of pyridoxal 5%27-phosphate from pyridoxal;Dbxref=Genbank:NP_460413.1,GeneID:1252968;gbkey=CDS;gene=pdxY;product=pyridoxamine kinase;protein_id=NP_460413.1;transl_table=11;strand=+
cds1416	gi|16763390|ref|NC_003197.1|	1525740	1526345	ID=cds1416;Name=NP_460414.1;Parent=gene1464;Dbxref=Genbank:NP_460414.1,GeneID:1252969;gbkey=CDS;gene=gst;product=glutathionine S-transferase;protein_id=NP_460414.1;transl_table=11;strand=-
cds1417	gi|16763390|ref|NC_003197.1|	1526450	1527955	ID=cds1417;Name=NP_460415.1;Parent=gene1465;Note=mutations in this gene confer resistance to the toxic peptide alafosfalin in Salmonella typhimurium%3B member of proton-dependent oligopeptide transport %28POT%29 system family%3B in Escherichia coli this gene is regulated by OmpR although not via osmoregulation;Dbxref=Genbank:NP_460415.1,GeneID:1252970;gbkey=CDS;gene=tppB;product=dipeptide%2Ftripeptide transporter permease A;protein_id=NP_460415.1;transl_table=11;strand=-
cds1418	gi|16763390|ref|NC_003197.1|	1528557	1529192	ID=cds1418;Name=NP_460416.1;Parent=gene1466;Note=DNA-%28apurinic or apyrimidinic site%29 lyase%3B has apurinic or apyrimidinic endonuclease activity and DNA N-glycosylase activity%3B removed damaged DNA at cytosines%2C thymines and guanines;Dbxref=Genbank:NP_460416.1,GeneID:1252971;gbkey=CDS;gene=nth;product=endonuclease III;protein_id=NP_460416.1;transl_table=11;strand=-
cds1419	gi|16763390|ref|NC_003197.1|	1529192	1529884	ID=cds1419;Name=NP_460417.1;Parent=gene1467;Note=in Excherichia coli RsxABCDEG reduces SoxR which turns off induction of SoxS transcription factor in the absence of oxidizing agents%3B similar to the rnfABCDGE operon in Rhodobacter capsulatus involved in transferring electrons to nitrogenase;Dbxref=Genbank:NP_460417.1,GeneID:1252972;gbkey=CDS;gene=rsxE;product=electron transport complex protein RsxE;protein_id=NP_460417.1;transl_table=11;strand=-
cds1420	gi|16763390|ref|NC_003197.1|	1529887	1530507	ID=cds1420;Name=NP_460418.1;Parent=gene1468;Note=part of membrane-bound complex hought to be involved in electron transport to nitrogen;Dbxref=Genbank:NP_460418.1,GeneID:1252973;gbkey=CDS;gene=rsxG;product=electron transport complex protein RsxG;protein_id=NP_460418.1;transl_table=11;strand=-
cds1421	gi|16763390|ref|NC_003197.1|	1530511	1531569	ID=cds1421;Name=NP_460419.1;Parent=gene1469;Note=RnfD%3B RsxD%3B required for nitrogen fixation in Rhodobacter capsulatus%3B part of a membrane-bound complex thought to be involved in electron transport to nitrogenase%3B in Escherichia coli this gene is part of a cluster controlling SoxR-mediated induction of the SoxS transcription factor in the absence of oxidizing agents;Dbxref=Genbank:NP_460419.1,GeneID:1252974;gbkey=CDS;gene=rsxD;product=electron transport complex protein RsxD;protein_id=NP_460419.1;transl_table=11;strand=-
cds1422	gi|16763390|ref|NC_003197.1|	1531570	1533777	ID=cds1422;Name=NP_460420.1;Parent=gene1470;Note=part of membrane-bound complex thought to be involved in electron transport to nitrogen;Dbxref=Genbank:NP_460420.1,GeneID:1252975;gbkey=CDS;gene=rsxC;product=electron transport complex protein RsxC;protein_id=NP_460420.1;transl_table=11;strand=-
cds1423	gi|16763390|ref|NC_003197.1|	1533770	1534348	ID=cds1423;Name=NP_460421.1;Parent=gene1471;Note=part of membrane-bound complex thought to be involved in electron transport to nitrogen;Dbxref=Genbank:NP_460421.1,GeneID:1252976;gbkey=CDS;gene=rsxB;product=electron transport complex protein RsxB;protein_id=NP_460421.1;transl_table=11;strand=-
cds1424	gi|16763390|ref|NC_003197.1|	1534348	1534929	ID=cds1424;Name=NP_460422.1;Parent=gene1472;Note=inner membrane protein;Dbxref=Genbank:NP_460422.1,GeneID:1252977;gbkey=CDS;gene=rsxA;product=electron transport complex protein RsxA;protein_id=NP_460422.1;transl_table=11;strand=-
cds1425	gi|16763390|ref|NC_003197.1|	1535006	1535446	ID=cds1425;Name=NP_460423.1;Parent=gene1473;Dbxref=Genbank:NP_460423.1,GeneID:1252978;gbkey=CDS;gene=ydgK;product=inner membrane protein;protein_id=NP_460423.1;transl_table=11;strand=-
cds1426	gi|16763390|ref|NC_003197.1|	1535535	1535750	ID=cds1426;Name=NP_460424.3;Parent=gene1474;Note=YdgT%3B in E. coli%2C when complexed with H-NS or StpA binds a 26 base-pair DNA sequence of oriC%3B seems to play a role in optimizing the activity of oriC%3B non-essential%3B Hha protein paralog%3B in an hha mutant background%2C cnu is overexpressed and can compensate hha-induced phenotypes;Dbxref=Genbank:NP_460424.3,GeneID:1252979;gbkey=CDS;gene=ydgT;product=oriC-binding nucleoid-associated protein;protein_id=NP_460424.3;transl_table=11;strand=-
cds1427	gi|16763390|ref|NC_003197.1|	1536381	1537421	ID=cds1427;Name=NP_460425.2;Parent=gene1475;Dbxref=Genbank:NP_460425.2,GeneID:1252980;gbkey=CDS;gene=ydgJ;product=oxidoreductase;protein_id=NP_460425.2;transl_table=11;strand=+
cds1428	gi|16763390|ref|NC_003197.1|	1537496	1538497	ID=cds1428;Name=NP_460426.1;Parent=gene1476;Note=catalyzes the formation of inosine from adenosine;Dbxref=Genbank:NP_460426.1,GeneID:1252981;gbkey=CDS;gene=add;product=adenosine deaminase;protein_id=NP_460426.1;transl_table=11;strand=-
cds1429	gi|16763390|ref|NC_003197.1|	1539201	1540709	ID=cds1429;Name=NP_460427.1;Parent=gene1479;Dbxref=Genbank:NP_460427.1,GeneID:1252984;gbkey=CDS;gene=ydgA;product=periplasmic protein;protein_id=NP_460427.1;transl_table=11;strand=-
cds1430	gi|16763390|ref|NC_003197.1|	1540812	1541987	ID=cds1430;Name=NP_460428.1;Parent=gene1480;Note=mannose-6-phosphate isomerase %28SW:MANA_SALTY%29;Dbxref=Genbank:NP_460428.1,GeneID:1252985;gbkey=CDS;gene=manA;product=mannose-6-phosphate isomerase;protein_id=NP_460428.1;transl_table=11;strand=-
cds1431	gi|16763390|ref|NC_003197.1|	1542187	1543929	ID=cds1431;Name=NP_460429.1;Parent=gene1481;Note=fumarate hydratase class I aerobic isozyme %28SW:FUMA_SALTY%29;Dbxref=Genbank:NP_460429.1,GeneID:1252986;gbkey=CDS;gene=fumA;product=class I fumarate hydratase;protein_id=NP_460429.1;transl_table=11;strand=+
cds1432	gi|16763390|ref|NC_003197.1|	1544000	1545403	ID=cds1432;Name=NP_460430.1;Parent=gene1482;Note=class II family %28does not require metal%29%3B tetrameric enzyme%3B fumarase C%3B reversibly converts %28S%29-malate to fumarate and water%3B functions in the TCA cycle;Dbxref=Genbank:NP_460430.1,GeneID:1252987;gbkey=CDS;gene=fumC;product=class II fumarate hydratase;protein_id=NP_460430.1;transl_table=11;strand=+
cds1433	gi|16763390|ref|NC_003197.1|	1545400	1546329	ID=cds1433;Name=NP_460431.1;Parent=gene1483;Note=binds to DNA replication terminator sequences to prevent passage of replication forks;Dbxref=Genbank:NP_460431.1,GeneID:1252988;gbkey=CDS;gene=tus;product=DNA replication terminus site-binding protein;protein_id=NP_460431.1;transl_table=11;strand=-
cds1434	gi|16763390|ref|NC_003197.1|	1546405	1547706	ID=cds1434;Name=NP_460432.1;Parent=gene1484;Dbxref=Genbank:NP_460432.1,GeneID:1252989;gbkey=CDS;gene=rstB;product=sensory histidine kinase RstB;protein_id=NP_460432.1;transl_table=11;strand=-
cds1435	gi|16763390|ref|NC_003197.1|	1547817	1549523	ID=cds1435;Name=NP_460433.1;Parent=gene1485;Dbxref=Genbank:NP_460433.1,GeneID:1252990;gbkey=CDS;product=periplasmic protein;protein_id=NP_460433.1;transl_table=11;strand=-
cds1436	gi|16763390|ref|NC_003197.1|	1549676	1550809	ID=cds1436;Name=NP_460434.1;Parent=gene1486;Dbxref=Genbank:NP_460434.1,GeneID:1252991;gbkey=CDS;gene=ompN;product=outer membrane protein N;protein_id=NP_460434.1;transl_table=11;strand=-
cds1437	gi|16763390|ref|NC_003197.1|	1551289	1552020	ID=cds1437;Name=NP_460435.1;Parent=gene1488;Note=response regulator in two-component regulatory system with RstB;Dbxref=Genbank:NP_460435.1,GeneID:1252993;gbkey=CDS;gene=rstA;product=response regulator RstA;protein_id=NP_460435.1;transl_table=11;strand=-
cds1438	gi|16763390|ref|NC_003197.1|	1552147	1552482	ID=cds1438;Name=NP_460436.1;Parent=gene1489;Dbxref=Genbank:NP_460436.1,GeneID:1252994;gbkey=CDS;gene=ydgC;product=inner membrane protein;protein_id=NP_460436.1;transl_table=11;strand=+
cds1439	gi|16763390|ref|NC_003197.1|	1552544	1553926	ID=cds1439;Name=NP_460437.1;Parent=gene1490;Dbxref=Genbank:NP_460437.1,GeneID:1252995;gbkey=CDS;gene=ydgI;product=amino acid transporter;protein_id=NP_460437.1;transl_table=11;strand=-
cds1440	gi|16763390|ref|NC_003197.1|	1554224	1555168	ID=cds1440;Name=NP_460438.1;Parent=gene1491;Dbxref=Genbank:NP_460438.1,GeneID:1252996;gbkey=CDS;gene=ydgH;product=periplasmic protein;protein_id=NP_460438.1;transl_table=11;strand=-
cds1441	gi|16763390|ref|NC_003197.1|	1555695	1557224	ID=cds1441;Name=NP_460439.1;Parent=gene1492;Note=forms a tetramer composed of 2 alpha subunits and 2 beta subunits in the inner membrane%3B involved in catalyzing transfer of hydride ion equivalents between NAD and NADP%3B stereospecific %28AB-specific%29%3B functions as a proton pump by translocating protons from cytoplasm to periplasm;Dbxref=Genbank:NP_460439.1,GeneID:1252997;gbkey=CDS;gene=pntA;product=NAD%28P%29 transhydrogenase subunit alpha;protein_id=NP_460439.1;transl_table=11;strand=+
cds1442	gi|16763390|ref|NC_003197.1|	1557235	1558623	ID=cds1442;Name=NP_460440.1;Parent=gene1493;Note=catalyzes reversible transfer of hydride ion equivalent between NAD and NADP%3B membrane-bound proton pump that translocates protons from cytosolic to periplasmic side of the inner membrane%3B forms a tetramer composed of two alpha and 2 beta subunits%3B AB-stereospecific enzyme;Dbxref=Genbank:NP_460440.1,GeneID:1252998;gbkey=CDS;gene=pntB;product=NAD%28P%29 transhydrogenase subunit beta;protein_id=NP_460440.1;transl_table=11;strand=+
cds1443	gi|16763390|ref|NC_003197.1|	1558798	1559832	ID=cds1443;Name=NP_460441.1;Parent=gene1494;Note=transport of quorum-sensing signal%3B mutations in this gene alters the transport of the quorum-sensing signal autoinducer 2 %28AI-2%29 which affects expression of a large number of genes;Dbxref=Genbank:NP_460441.1,GeneID:1252999;gbkey=CDS;gene=tqsA;product=membrane transport protein;protein_id=NP_460441.1;transl_table=11;strand=-
cds1444	gi|16763390|ref|NC_003197.1|	1560250	1560612	ID=cds1444;Name=NP_460442.1;Parent=gene1495;Note=with MdtI is involved in resistance to deoxycholate %2C nalidixic acid%2C fosfomycin%2C and SDS;Dbxref=Genbank:NP_460442.1,GeneID:1253000;gbkey=CDS;gene=ydgF;product=spermidine export protein MdtJ;protein_id=NP_460442.1;transl_table=11;strand=+
cds1445	gi|16763390|ref|NC_003197.1|	1560599	1560928	ID=cds1445;Name=NP_460443.1;Parent=gene1496;Note=with MdtJ is involved in resistance to deoxycholate%2C nalidixic acid%2C fosfomycin%2C and SDS;Dbxref=Genbank:NP_460443.1,GeneID:1253001;gbkey=CDS;gene=ydgE;product=spermidine export protein MdtI;protein_id=NP_460443.1;transl_table=11;strand=+
cds1446	gi|16763390|ref|NC_003197.1|	1560968	1561789	ID=cds1446;Name=NP_460444.1;Parent=gene1497;Dbxref=Genbank:NP_460444.1,GeneID:1253002;gbkey=CDS;product=protease;protein_id=NP_460444.1;transl_table=11;strand=-
cds1447	gi|16763390|ref|NC_003197.1|	1562058	1562306	ID=cds1447;Name=NP_460445.2;Parent=gene1498;Note=required for growth and survival under moderately acid conditions;Dbxref=Genbank:NP_460445.2,GeneID:1253003;gbkey=CDS;product=acid shock protein;protein_id=NP_460445.2;transl_table=11;strand=-
cds1448	gi|16763390|ref|NC_003197.1|	1562701	1563954	ID=cds1448;Name=NP_460446.1;Parent=gene1499;Dbxref=Genbank:NP_460446.1,GeneID:1253004;gbkey=CDS;gene=ynfM;product=MFS familty transport protein;protein_id=NP_460446.1;transl_table=11;strand=-
cds1449	gi|16763390|ref|NC_003197.1|	1564074	1564973	ID=cds1449;Name=NP_460447.1;Parent=gene1500;Dbxref=Genbank:NP_460447.1,GeneID:1253005;gbkey=CDS;gene=ynfL;product=LysR family transcriptional regulator;protein_id=NP_460447.1;transl_table=11;strand=+
cds1450	gi|16763390|ref|NC_003197.1|	1565101	1566321	ID=cds1450;Name=NP_460448.1;Parent=gene1501;Dbxref=Genbank:NP_460448.1,GeneID:1253006;gbkey=CDS;gene=mlc;product=pts operon transcriptional repressor;protein_id=NP_460448.1;transl_table=11;strand=+
cds1451	gi|16763390|ref|NC_003197.1|	1566447	1567142	ID=cds1451;Name=NP_460449.1;Parent=gene1502;Note=DTB synthetase%3B dethiobiotin synthase%3B involved in production of dethiobiotin from ATP and 7%2C8-diaminononanoate and carbon dioxide%3B contains magnesium;Dbxref=Genbank:NP_460449.1,GeneID:1253007;gbkey=CDS;gene=bioD;product=ATP-dependent dithiobiotin synthetase BioD;protein_id=NP_460449.1;transl_table=11;strand=+
cds1452	gi|16763390|ref|NC_003197.1|	1567098	1568351	ID=cds1452;Name=NP_460450.2;Parent=gene1503;Dbxref=Genbank:NP_460450.2,GeneID:1253008;gbkey=CDS;product=voltage-gated ClC-type chloride channel ClcB;protein_id=NP_460450.2;transl_table=11;strand=-
cds1453	gi|16763390|ref|NC_003197.1|	1568523	1569671	ID=cds1453;Name=NP_460451.1;Parent=gene1504;Dbxref=Genbank:NP_460451.1,GeneID:1253009;gbkey=CDS;product=ABC transporter ATP-binding protein;protein_id=NP_460451.1;transl_table=11;strand=-
cds1454	gi|16763390|ref|NC_003197.1|	1569671	1570318	ID=cds1454;Name=NP_460452.1;Parent=gene1505;Dbxref=Genbank:NP_460452.1,GeneID:1253010;gbkey=CDS;product=ABC transporter permease;protein_id=NP_460452.1;transl_table=11;strand=-
cds1455	gi|16763390|ref|NC_003197.1|	1570328	1571230	ID=cds1455;Name=NP_460453.1;Parent=gene1506;Dbxref=Genbank:NP_460453.1,GeneID:1253011;gbkey=CDS;product=ABC transporter substrate-binding protein;protein_id=NP_460453.1;transl_table=11;strand=-
cds1456	gi|16763390|ref|NC_003197.1|	1571259	1571969	ID=cds1456;Name=NP_460454.1;Parent=gene1507;Dbxref=Genbank:NP_460454.1,GeneID:1253012;gbkey=CDS;product=ABC transporter permease;protein_id=NP_460454.1;transl_table=11;strand=-
